SOC;Vocbt;Rint ch;Rint dch
1;1,373944322;0,001330602;0,007940074
2;1,426212484;0,001315338;0,007494913
3;1,478649042;0,001318207;0,007031383
4;1,53133041;0,001330126;0,0065708
5;1,583324481;0,001334924;0,006108789
6;1,635470691;0,001321987;0,005646726
7;1,68847451;0,001302468;0,0051847
8;1,749913501;0,001293454;0,004711708
9;1,802930736;0,001300501;0,004257399
10;1,836006628;0,00130494;0,004026847
11;1,854263309;0,001295475;0,003765912
12;1,860091072;0,001304208;0,003523687
13;1,867354361;0,001326337;0,003281199
14;1,871813536;0,001329009;0,003037923
15;1,879577048;0,001318744;0,002797098
16;1,885277839;0,001329194;0,002559111
17;1,89122725;0,00135119;0,00231246
18;1,897077943;0,001350158;0,002071029
19;1,905669116;0,001343866;0,001839899
20;1,907849826;0,001356991;0,001806084
21;1,910038455;0,001383685;0,001770153
22;1,913484971;0,001406877;0,001735781
23;1,91848003;0,001428264;0,001698747
24;1,935487296;0,00145146;0,001663188
25;1,941326799;0,001473993;0,00162813
26;1,945732735;0,001499622;0,001593689
27;1,949348481;0,001515996;0,001559821
28;1,953163545;0,001539889;0,001526334
29;1,957137302;0,001572724;0,001492273
30;1,961114534;0,001585205;0,001481942
31;1,965080521;0,001602646;0,001470884
32;1,968781817;0,001621652;0,001459665
33;1,97269151;0,00162695;0,001448343
34;1,976280255;0,001644121;0,001437912
35;1,980232356;0,001658325;0,001425739
36;1,984213737;0,00166872;0,001415942
37;1,987864246;0,001683951;0,00140332
38;1,991831954;0,00169422;0,001392816
39;1,995446206;0,001712425;0,001381164
40;1,999661677;0,001727724;0,001378957
41;2,004869772;0,001726917;0,001369948
42;2,0104916;0,001722486;0,001371122
43;2,016126101;0,001741825;0,001358759
44;2,021422153;0,001758931;0,001358744
45;2,026736019;0,001749211;0,001358743
46;2,032342145;0,001747833;0,001347744
47;2,038061987;0,001767015;0,001347519
48;2,043856855;0,001779295;0,001335141
49;2,049496264;0,00177063;0,001336649
50;2,054463899;0,001762456;0,001346492
51;2,058753753;0,001766484;0,001358751
52;2,062704159;0,001777478;0,00136989
53;2,06631893;0,001783554;0,001381235
54;2,070237012;0,001771769;0,001384954
55;2,07422927;0,001750306;0,001404703
56;2,077550166;0,001741757;0,001403908
57;2,081532742;0,001748242;0,001413906
58;2,085483931;0,001758272;0,001425992
59;2,089360896;0,001757619;0,001437288
60;2,096336189;0,001747791;0,001426311
61;2,106968008;0,001740636;0,001426009
62;2,113082353;0,001739741;0,001426007
63;2,118165536;0,001739949;0,001427136
64;2,124119872;0,001739901;0,001414804
65;2,129717672;0,001739917;0,001414862
66;2,135730569;0,001739898;0,001403605
67;2,140290496;0,00173996;0,001403587
68;2,146239624;0,001739727;0,001403587
69;2,150565834;0,001741681;0,001403587
70;2,157382072;0,001745104;0,001403587
71;2,162041185;0,001760634;0,001403587
72;2,16859239;0,001777592;0,001403587
73;2,173824041;0,001784028;0,001403587
74;2,179436091;0,001801308;0,001403587
75;2,183080162;0,001825161;0,001403587
76;2,192984418;0,001833847;0,00140361
77;2,208277178;0,001848411;0,001415125
78;2,215555512;0,001870798;0,001414798
79;2,224829385;0,001881648;0,001414798
80;2,233329977;0,001898524;0,001414798
81;2,243801378;0,001933938;0,001414798
82;2,255069753;0,001969481;0,001414798
83;2,266006157;0,00200889;0,001414798
84;2,276940468;0,002045253;0,001414798
85;2,287837756;0,002074037;0,001414798
86;2,29837528;0,002109942;0,001414798
87;2,309269684;0,002144507;0,001414798
88;2,320210566;0,002178633;0,001414798
89;2,331145674;0,002212376;0,001414798
90;2,344462721;0,002245591;0,001414798
91;2,360794216;0,002282827;0,001414798
92;2,378035302;0,00232159;0,001414798
93;2,394888125;0,002360753;0,001414798
94;2,41151208;0,002401214;0,001414798
95;2,427422496;0,00243896;0,001414798
96;2,44399819;0,002475158;0,001414798
97;2,461177372;0,002516348;0,001414798
98;2,478316134;0,002553431;0,001414798
